sup_id,name,full_name,gender,place_of_birth,first_appearance,publisher,alignment,race,height,weight,eye_color,hair_color,occupation,work_base,group_affiliation,relatives,intelligence,strength,speed,durability,power,combat,image_url
40,Archangel,Warren Kenneth Worthington III,Male,"Centerport, Long Island, New York","X-Men #1 (September, 1963)",Angel,good,Mutant,6'0,68 kg,Blue,Blond,"Adventurer, Chairman & principal stockholder of Worthington Industries, Multi-Millionaire, Heir, former terrorist",,X-Men (founding member); X-Force; Mutantes Sans Fronti�res; Hellfire Club; formerly X-Club (founding member); Death's champions; Secret Defenders; X-Factor/X-Terminators (founding member); Horsemen of Apocalypse; Defenders; Champions of Los Angeles (fou,"Wallace Worthington (paternal ancestor, deceased), Warren Worthington Sr. (paternal grandfather, deceased), Warren Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burt Worthington (paternal uncle), Mimi (maternal aunt), unnamed distant cousin",63,13,58,64,35,42,https://www.superherodb.com/pictures2/portraits/10/100/838.jpg
41,Arclight,Philippa Sontag,Female,Vietnam,"(In shadow) Uncanny X-Men #210 (1986), (fully) X-Factor #10 (1986)",Marvel Comics,bad,,5'8,57 kg,Violet,Purple,Terrorist,,"Marauders formerly, 198, Femizons",,38,63,23,42,52,70,https://www.superherodb.com/pictures2/portraits/10/100/832.jpg
42,Ardina,Ardina,Female,,The Order #4,Marvel Comics,good,Alien,6'4,98 kg,White,Orange,,,,"Norrin Radd (Silver Surfer, clonal source), Clea (creator)",63,100,100,80,100,25,https://www.superherodb.com/pictures2/portraits/10/100/10132.jpg
43,Ares,,Male,,Thor #129,Marvel Comics,good,,6'1,270 kg,Brown,Brown,,"Avengers Tower, formerly Olympus","Avengers, Mighty Avengers, Olympic Pantheon; Warhawks","Zeus (father), Hera (mother), Enyo (wife), Deimos, Phobos, Alexander (sons), Neptune, Pluto (uncles), Demeter, Hestia (aunts), Hephaestus (brother), Apollo, Dionysus, Hercules, Hermes(half-brothers), Artemis, Pallas Athena, Venus, (half-sisters)",75,82,35,80,84,101,https://www.superherodb.com/pictures2/portraits/10/100/1118.jpg
44,Ariel,Ariel,Female,,Fallen Angels #1 (1987),Marvel Comics,good,,5'5,59 kg,Purple,Pink,"Leader, refugee alien; former alien mutant-hunter and hedonist",,"X-Men, Formerly Fallen Angels",,50,10,12,14,94,28,https://www.superherodb.com/pictures2/portraits/10/100/1348.jpg
45,Armor,Hisako Ichiki,Female,,Astonishing X-Men #4 (2004),Marvel Comics,good,,5'4,50 kg,Black,Black,"Adventurer, student",,"X-Men, formerly: Xavier Institute Student Body, New X-Men",,50,63,12,80,55,54,https://www.superherodb.com/pictures2/portraits/10/100/1347.jpg
46,Arsenal,"Roy William Harper, Jr.",Male,,,Speedy,good,Human,0 cm,0 kg,,,,,,,,54,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1014.jpg
47,Astro Boy,Atom,Male,,,,good,,0 cm,0 kg,Brown,Black,,,,,,90,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1159.jpg
48,Atlas,Erik Josten,Male,"Milwaukee, Wisconsin",Incredible Hulk #449,Goliath,good,Mutant,6'0,101 kg,Brown,Red,"Adventurer; former professional criminal, mercenary, dock worker, soldier",,"Thunderbolts, formerly Revengers, Defenders (New Jersey Initiative team), Masters of Evil, Maggia, Grim Reaper's Lethal Legion, Mandarin's Minions, Emissaries of Evil; former partner of Citizen V (Dallas Riordan) and Swordsman, Count Nefaria's Lethal Legi","Unidentified parents (deceased), Carl (brother, deceased), Conrad (brother), Lindy (sister, deceased)",63,80,25,100,98,50,https://www.superherodb.com/pictures2/portraits/10/100/878.jpg
49,Atlas,,Male,Crystal Mountain,Action Comics #121,DC Comics,bad,God / Eternal,6'6,126 kg,Blue,Brown,,"Formely; Hyssa, Metropolis",,,63,100,42,100,27,80,https://www.superherodb.com/pictures2/portraits/10/100/10838.jpg
50,Atom,Albert Pratt,Male,,All American Comics #19,DC Comics,good,,5'10,68 kg,Blue,Red,"Adventurer, Retired Professor of Nuclear Physics","GBS Building, Gotham City (former) Calvin College on Earth-Two",formerly Justice Society of America; formerly All-Star Squadron,"Mary James (wife, deceased), Grant Albert Emerson (Damage, son), Albert Rothstein (aka Nuklon / Atom-Smasher, godson)",,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/934.jpg
51,Atom,,Male,,,DC Comics,good,,0 cm,0 kg,,,,,,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1379.jpg
52,Atom Girl,Salu Digby,Female,,Teen Titans/Legion Special #1 (2004),DC Comics,good,,5'6,54 kg,Black,Black,,"United Planets, 31st century",Legion of Super-Heroes,,38,10,23,28,38,42,https://www.superherodb.com/pictures2/portraits/10/100/1180.jpg
53,Atom II,Ray Palmer,Male,,Showcase #34,DC Comics,good,Human,6'0,81 kg,Brown,Auburn,Physics Professor,Ivy Town,"Justice League of America, formerly; Suicide Squad, Teen Titans","Jean Loring (ex-wife, deceased), Princess Laethwen (wife, deceased), Danny Palmer (brother, deceased), David Palmer (father), Susan Palmer (mother, deceased), David Palmer (uncle)",88,10,33,45,40,60,https://www.superherodb.com/pictures2/portraits/10/100/938.jpg
54,Atom III,Adam Cray,Male,,Suicide Squad (Volume 1) #44,DC Comics,good,,0 cm,0 kg,,Red,,,Suicide Squad,"Senator Cray (father, deceased)",,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/939.jpg
55,Atom IV,Ryan Choi,Male,,Brave New World #1,DC Comics,good,,0 cm,72 kg,Brown,Black,Professor of nuclear physics at Ivy University,Ivy Town,Lighter Than Air Society,Professor Choi (father); mother (deceased); sister (unnamed); Jia Choi (descendent).,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/940.jpg
56,Aurora,Jeanne-Marie Beaubier,Female,"Montreal, Quebec, Canada",X-Men #121 (1979),Marvel Comics,good,Mutant,5'11,63 kg,Blue,Black,"Adventurer; former terrorist, nun, history/geography teacher","Laval, Quebec, Canada","Alpha Flight, Alpha Flight (Space Program), Royal Canadian Mounted Police; formerly Weapon X, ally of the Havok's Brotherhood, Headbangers , Children of the Vault, X-Men (interim member)","Jean-Baptiste Beaubier (father, deceased), unidentified mother (deceased), Jean-Paul Beaubier (Northstar, twin brother) Joanna Beaubier (adopted niece, deceased); Lois and Genevieve Martin (first cousins once removed/adopted parents, deceased)",63,10,96,60,74,56,https://www.superherodb.com/pictures2/portraits/10/100/1289.jpg
57,Azazel,,Male,"Isla des Demonas, Caribbean Sea",Uncanny X-Men #428 (2003),Marvel Comics,bad,Neyaphem,6'0,67 kg,Yellow,Black,Leader of the Neyaphem,"Brimstone Dimension; formerly La Isla des Demonas, Bermuda",,"Kurt Wagner (Nightcrawler, son), Nils Styger (Abyss, son), Kiwi Black (son), numberous other offspring (deceased)",50,11,47,95,100,80,https://www.superherodb.com/pictures2/portraits/10/100/1481.jpg
58,Azrael,Michael Washington Lane,Male,Gotham City,"Batman #672 (February, 2008)",DC Comics,good,Human,0 cm,0 kg,Brown,Black,"Former Police Officer, vigilante",,Order of St. Dumas; formerly Gotham City Police Department; Three Ghosts of Batman,"Mitchell Lane (father; deceased), Barbara Lane (mother; deceased), Marion Lane (brother; deceased), Gwendolyn Lane (sister; deceased), Chante Coles (wife; deceased), Henry Mitchell Lane (son; deceased), Jenny Lane (Sister-in-law)",63,18,17,20,35,80,https://www.superherodb.com/pictures2/portraits/10/100/1532.jpg
59,Aztar,Aztar,Male,,More Fun Comics #52 (February 1940),Spectre,good,,0 cm,0 kg,,,,,The Presence,,,98,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1012.jpg
60,Bane,,Male,,"Batman: Vengeance of Bane #1 (January, 1993)",DC Comics,bad,Human,6'8,180 kg,,,,Santa Prisca,"Suicide Squad, The Secret Society of Super Villains",King Snake (father),88,38,23,56,51,95,https://www.superherodb.com/pictures2/portraits/10/100/637.jpg
61,Banshee,Sean Cassidy,Male,"Cassidy Keep, Ireland","X-Men #28 (January, 1967)",Marvel Comics,good,Human,6'0,77 kg,Green,Strawberry Blond,"Currently founder and director of operation for X-Corps, formerly Adventurer and Headmaster at the Massachusetts Academy, in charge of Generation X, Interpol Inspector and Agent, freelance detective, professional criminal, involuntary operative for Factor","Muir Island, off the coast of Scotland. formerly Massachusetts Academy; Xavier Institute","Currently X-Corps, formerly Generation X, Factor Three, X-Men","Maeve Rourke Cassidy (wife, deceased), Thomas (Black Tom, cousin), Theresa Rourke (Siryn, daughter)",50,10,58,40,63,70,https://www.superherodb.com/pictures2/portraits/10/100/26.jpg
62,Bantam,Roberto Velasquez,Male,,"Civil War: Front Line #3 (September, 2006)",Marvel Comics,good,,5'5,54 kg,Brown,Black,"Adventurer, boxing trainer, former boxer",,"Captain America, Pro-Registration forces",,25,53,23,54,21,56,https://www.superherodb.com/pictures2/portraits/10/100/229.jpg
63,Batgirl,Barbara Gordon,Female,,Detective Comics #359,Oracle,good,Human,5'7,57 kg,Green,Red,,"Gotham City, formerly Metropolis, Platinum Flats",,"James Gordon (father) � Barbara Eileen (mother) � James Gordon, Jr. (brother)",88,11,33,40,34,90,https://www.superherodb.com/pictures2/portraits/10/100/1111.jpg
64,Batgirl,Mary Elizabeth Kane,Female,,Batman #139,Hawkfire,good,,0 cm,0 kg,,,Crime-fighter,Gotham City,Former associated partner of Batman and Robin of Earth-One; Partner of Katherine Kane,"Katherine Kane (Batwoman I,  Aunt)",,27,,,,,https://www.superherodb.com/pictures2/portraits/10/100/638.jpg
65,Batgirl III,Helena Rosa Bertinelli,Female,,,Huntress,good,,0 cm,0 kg,,,,,,,,43,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1112.jpg
66,Batgirl IV,Cassandra Cain,Female,League of Assassins (exact base is unknown),Batman: Legends of the Dark Knight #120,DC Comics,good,Human,5'5,52 kg,Green,Black,,Gotham City; Bl�dhaven; Tibet; New York City,"Titans East, League of Assassins, Batman Family, Justice League Elite, Young Justice","David Cain (father), Lady Shiva (mother), Carolyn (aunt, deceased), Annalea (sibling, deceased), 'The Mad Dog' (sibling)",69,12,27,56,46,100,https://www.superherodb.com/pictures2/portraits/10/100/1113.jpg
67,Batgirl V,Charlotte Gage-Radcliffe,Female,,,Misfit,good,,0 cm,0 kg,,,,,,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1115.jpg
68,Batgirl VI,Stephanie Brown,Female,,Detective Comics #647. As Batgirl in Batgirl (Volume 3) #1. (2009),Spoiler,good,,5'6,61 kg,Blue,Blond,College student at Gotham University,"Gotham Heights, Gotham City","The Batman Family, formerly the Birds of Prey, Tim Drake (on-and-off boyfriend)","Arthur Brown (The Cluemaster, father), Crystal Brown (mother), unnamed daughter (given up for adoption)",75,10,23,28,22,80,https://www.superherodb.com/pictures2/portraits/10/100/1398.jpg
69,Batman,Terry McGinnis,Male,"Gotham City, 25th Century",Batman Beyond #1,DC Comics,good,Human,5'10,77 kg,Blue,Black,,21st Century Gotham City,"Batman Family, Justice League Unlimited","Bruce Wayne (biological father), Warren McGinnis (father, deceased), Mary McGinnis (mother), Matt McGinnis (brother)",81,40,29,55,63,90,https://www.superherodb.com/pictures2/portraits/10/100/10441.jpg
